id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,gamestop-trade-price,upc
16602,3DO,Putt-Putt Goes to the Moon,$10.50 ,$39.95 ,$46.42 ,$2.20 ,$10.99 ,$16.80 ,$41.99 ,,,
16603,3DO,Putt-Putt Joins the Parade,$12.95 ,$14.45 ,$27.98 ,$2.80 ,$13.99 ,$3.00 ,$14.99 ,,,
16605,3DO,Quarantine,$12.20 ,$25.64 ,$51.30 ,$2.60 ,$12.99 ,$8.10 ,$26.99 ,,,
16606,3DO,Quarterback Attack with Mike Ditka,$11.34 ,$29.99 ,$29.99 ,$2.40 ,$11.99 ,$9.30 ,$30.99 ,,,7.82346E+11
35951,3DO,Real Pinball,$16.47 ,$26.05 ,$26.91 ,$3.40 ,$16.99 ,$8.10 ,$26.99 ,,,
16607,3DO,Return Fire,$17.67 ,$24.52 ,$30.06 ,$3.80 ,$18.99 ,$7.80 ,$25.99 ,,,7.02049E+11
16608,3DO,Return Fire: Maps O' Death,$17.47 ,$25.90 ,$36.69 ,$3.60 ,$17.99 ,$8.10 ,$26.99 ,,,7.02049E+11
16610,3DO,Rise of the Robots,$11.75 ,$15.00 ,$30.00 ,$2.40 ,$11.99 ,$3.20 ,$15.99 ,,,18706720948
16611,3DO,Road Rash,$21.81 ,$38.14 ,$119.29 ,$6.90 ,$22.99 ,$16.00 ,$39.99 ,,,14633072211
16612,3DO,Robinson's Requiem,$25.30 ,$171.62 ,$461.54 ,$8.10 ,$26.99 ,$72.00 ,$179.99 ,,,92667650254
16614,3DO,Samurai Shodown,$18.07 ,$45.00 ,$74.01 ,$3.80 ,$18.99 ,$18.80 ,$46.99 ,,,7.6598E+11
16615,3DO,Scramble Cobra,$11.24 ,$16.27 ,$34.84 ,$2.40 ,$11.99 ,$3.40 ,$16.99 ,,,
16616,3DO,Seal of the Pharaoh,$12.67 ,$37.49 ,$74.97 ,$2.60 ,$12.99 ,$15.60 ,$38.99 ,,,37988830152
16617,3DO,Sesame Street: Numbers,$18.13 ,$24.47 ,$67.12 ,$3.80 ,$18.99 ,$7.80 ,$25.99 ,,,
16618,3DO,Sewer Shark,$29.70 ,$45.00 ,$90.00 ,$9.30 ,$30.99 ,$18.80 ,$46.99 ,,,
16619,3DO,Shadow: War of Succession,$13.91 ,$27.13 ,$49.99 ,$3.00 ,$14.99 ,$8.40 ,$27.99 ,,,
16620,3DO,Shanghai: Triple Threat,$5.91 ,$13.00 ,$17.31 ,$1.24 ,$6.19 ,$2.80 ,$13.99 ,,,47875110526
16621,3DO,Shock Wave,$8.96 ,$15.32 ,$20.21 ,$1.88 ,$9.39 ,$3.20 ,$15.99 ,,,14633072228
